reaction formula,dG0_prime,dGm_prime,deltaGpH72,mMdeltaGpH72
23cump_p + h2o_p --> 3ump_p + h_p,-32.5436350402,-32.5436350402,-6.9,-6.9
23ccmp_p + h2o_p --> 3cmp_p + h_p,-32.7807431945,-32.7807431945,-6.9,-6.9
23camp_p + h2o_p --> 3amp_p + h_p,-32.7429107954,-32.7429107954,-6.9,-6.9
23cgmp_p + h2o_p --> 3gmp_p + h_p,-32.7961383155,-32.7961383155,-6.9,-6.9
2dhglcn_c + h_c + nadh_c --> glcn_c + nad_c,-19.5572957625,-19.5572957625,-6.4,-6.4
2dhglcn_c + h_c + nadph_c --> glcn_c + nadp_c,-22.9773313633,-22.9773313633,-6.7,-6.7
2mahmp_c + h2o_c --> 4ampm_c + h_c + pi_c,-22.7598148222,-39.874652357,-6.5,-10.6
3hcinnm_c + h_c + nadh_c + o2_c --> dhcinnm_c + h2o_c + nad_c,-442.625861133,-418.324860958,-96,-90.2
3hpppn_c + h_c + nadh_c + o2_c --> dhpppn_c + h2o_c + nad_c,-442.628082998,-418.327082822,-96,-90.2
3dhguln_c + atp_c --> 3dhgulnp_c + adp_c + h_c,-14.5311304092,-14.5311304092,-3.8,-3.8
3ump_p + h2o_p --> pi_p + uri_p,-14.7410620512,-31.8558995859,-2.8,-6.9
3cmp_p + h2o_p --> cytd_p + pi_p,-21.505995448,-38.6208329827,-2.8,-6.9
3amp_p + h2o_p --> adn_p + pi_p,-15.844823878,-32.9596614127,-2.8,-6.9
3gmp_p + h2o_p --> gsn_p + pi_p,-12.0082882207,-29.1231257555,-2.8,-6.9
h2o_c + phthr_c --> 4hthr_c + pi_c,-14.2083142492,-31.3231517839,-2.8,-6.9
5dglcn_c + h_c + nadph_c <=> glcn_c + nadp_c,-30.0870971377,-30.0870971377,-4.2,-4.2
ru5p__D_c <=> ara5p_c,-2.63505590877,-2.63505590877,1.4,1.4
4abut_c + akg_c --> glu__L_c + sucsal_c,4.88542736969,4.88542736969,-1.1,-1.1
4abutn_c + h2o_c + nad_c --> 4abut_c + 2.0 h_c + nadh_c,-47.4651101394,-47.4651101394,-9.4,-9.4
acac_c + accoa_c --> aacoa_c + ac_c,5.73732607335,5.73732607335,-1.5,-1.5
2.0 accoa_c <=> aacoa_c + coa_c,26.134494531,26.134494531,7.1,7.1
acald_c + coa_c + nad_c <=> accoa_c + h_c + nadh_c,-15.6856214032,1.42921613153,-4.4,-0.3
accoa_c + anth_c --> acanth_c + coa_c,-18.1795792541,-18.1795792541,-4.3,-4.3
accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c,-1.14211359453,-1.14211359453,-0.9,-0.9
atp_c + coa_c + ppa_c --> adp_c + pi_c + ppcoa_c,11.637376987,11.637376987,-1,-1
acgal1p_p + h2o_p --> acgal_p + pi_p,-21.9902878909,-39.1051254256,-2.8,-6.9
acgam1p_p + h2o_p --> acgam_p + pi_p,-19.8968716343,-37.011709169,-2.8,-6.9
acgam_c + atp_c --> acgam6p_c + adp_c + h_c,-13.592213731,-13.592213731,-3.8,-3.8
uacgam_c + udcpp_c --> ump_c + unaga_c,4.72082824091,4.72082824091,0,0
acgam_p + pep_c --> acgam6p_c + pyr_c,-41.6409575966,-41.6409575966,-9.1,-9.1
acglu_c + atp_c --> acg5p_c + adp_c,29.1680129746,29.1680129746,2.7,2.7
accoa_c + glu__L_c --> acglu_c + coa_c + h_c,-26.4818399249,-26.4818399249,-5.2,-5.2
2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c,-21.9802999677,-21.9802999677,-10.7,-10.7
ac_c + atp_c <=> actp_c + adp_c,11.2275773497,11.2275773497,4.3,4.3
h_c + 2.0 pyr_c --> alac__S_c + co2_c,-32.3366563023,-32.3366563023,-10.7,-10.7
acmum6p_c + h2o_c --> acgam6p_c + lac__D_c,-8.25293686273,-25.3677743974,-3.3,-7.4
acmana_p + pep_c --> acmanap_c + pyr_c,-43.18888461,-43.18888461,-9.1,-9.1
acmum_p + pep_c --> acmum6p_c + pyr_c,-42.4648214866,-42.4648214866,-9.1,-9.1
acnam_c --> acmana_c + pyr_c,7.8899746951,-9.22486283963,1,-3.1
btcoa_c + fad_c <=> b2coa_c + fadh2_c,37.4485452598,37.4485452598,12.7,12.7
fad_c + hxcoa_c <=> fadh2_c + hx2coa_c,42.6455886689,42.6455886689,12.7,12.7
fad_c + occoa_c <=> fadh2_c + oc2coa_c,43.769852124,43.769852124,12.7,12.7
dcacoa_c + fad_c <=> dc2coa_c + fadh2_c,43.769852124,43.769852124,12.7,12.7
ddcacoa_c + fad_c <=> dd2coa_c + fadh2_c,43.769852124,43.769852124,12.7,12.7
fad_c + tdcoa_c <=> fadh2_c + td2coa_c,43.769852124,43.769852124,12.7,12.7
fad_c + pmtcoa_c <=> fadh2_c + hdd2coa_c,45.9145152964,45.9145152964,12.7,12.7
fad_c + stcoa_c <=> fadh2_c + od2coa_c,43.769852124,43.769852124,12.7,12.7
acorn_c + h2o_c --> ac_c + orn_c,1.9156506727,-15.199186862,-1.9,-6
acon_T_c <=> acon_C_c,3.64614578204,3.64614578204,0,0
cit_c <=> acon_C_c + h2o_c,8.3065960657,8.3065960657,1.5,1.5
acon_C_c + h2o_c <=> icit_c,-0.674598556092,-0.674598556092,-0.2,-0.2
acorn_c + akg_c <=> acg5sa_c + glu__L_c,-12.9295444543,-12.9295444543,-1.1,-1.1
ac_c + atp_c + coa_c --> accoa_c + amp_c + ppi_c,-4.9579237653,-4.9579237653,-0.9,-0.9
4adcho_c --> 4abz_c + h_c + pyr_c,-61.3270300338,-78.4418675685,-35.4,-39.5
chor_c + gln__L_c --> 4adcho_c + glu__L_c,-17.4368713435,-17.4368713435,-7.5,-7.5
amp_c + atp_c <=> 2.0 adp_c,-4.55062015637,-4.55062015637,-0.1,-0.1
amp_c + gtp_c <=> adp_c + gdp_c,-2.04307866659,-2.04307866659,-0.3,-0.3
amp_c + itp_c <=> adp_c + idp_c,-8.270503028,-8.270503028,-0.1,-0.1
amet_c + h_c --> ametam_c + co2_c,-19.9414287891,-37.0562663238,-3.3,-7.4
atp_c --> camp_c + ppi_c,5.43590416104,-11.6789333737,0.5,-3.6
adn_c + atp_c --> adp_c + amp_c + h_c,-14.2936766008,-14.2936766008,-3.8,-3.8
adn_c + h2o_c --> ade_c + rib__D_c,-4.8418352994,-21.9566728341,-0.8,-4.9
adocbl_p + atp_c + h2o_c --> adocbl_c + adp_c + h_c + pi_c,-28.7657317899,-45.8805693246,0.1,-4
adprib_c + h2o_c --> amp_c + 2.0 h_c + r5p_c,-22.7489137564,-39.8637512912,-8.4,-12.5
ade_c + prpp_c --> amp_c + ppi_c,-22.0840527624,-22.0840527624,-3.3,-3.3
aps_c + atp_c --> adp_c + h_c + paps_c,-10.8460930665,-10.8460930665,-3.8,-3.8
dcamp_c <=> amp_c + fum_c,5.32038031733,-11.7944572174,7.7,3.6
25aics_c <=> aicar_c + fum_c,5.32758425716,-11.7872532776,7.7,3.6
asp__L_c + gtp_c + imp_c --> dcamp_c + gdp_c + 2.0 h_c + pi_c,15.2240900288,15.2240900288,-3.1,-3.1
acgam6p_c + h2o_c --> ac_c + gam6p_c,-7.86102530929,-24.975862844,-1.9,-6
agm_c + h2o_c --> ptrc_c + urea_c,-57.6784973249,-74.7933348596,-4.7,-8.8
acg5sa_c + nadp_c + pi_c <=> acg5p_c + h_c + nadph_c,14.1007619582,31.2155994929,0.2,4.3
ahcys_c + h2o_c --> ade_c + rhcys_c,-14.8196205799,-31.9344581146,-0.8,-4.9
10fthf_c + aicar_c <=> fprica_c + thf_c,4.6093310853,4.6093310853,-6.2,-6.2
air_c + atp_c + hco3_c --> 5caiz_c + adp_c + h_c + pi_c,-61.2125919184,-61.2125919184,9.2,9.2
5aizc_c <=> 5caiz_c,-37.1624520201,-37.1624520201,0,0
akg_c + coa_c + nad_c --> co2_c + nadh_c + succoa_c,-22.3360013748,-22.3360013748,-8.3,-8.3
alaala_c + h2o_c --> 2.0 ala__D_c,-2.09158705877,-19.2064245935,-0.4,-4.5
alaala_p + atp_c + h2o_c --> adp_c + alaala_c + h_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-10.7
2.0 ala__D_c + atp_c <=> adp_c + alaala_c + h_c + pi_c,-26.6741447311,-26.6741447311,-6.2,-6.2
ala__L_c <=> ala__D_c,-0.0390694996343,-0.0390694996343,0,0
ala__D_c + pydx5p_c --> pyam5p_c + pyr_c,-0.126696152594,-0.126696152594,2.5,2.5
akg_c + ala__L_c <=> glu__L_c + pyr_c,-1.43615373874,-1.43615373874,0,0
ala__L_c + pydx5p_c --> pyam5p_c + pyr_c,-0.165765652228,-0.165765652228,2.5,2.5
ala__L_p + atp_c + h2o_c --> adp_c + ala__L_c + h_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-10.7
glyald_c + h_c + nadh_c <=> glyc_c + nad_c,-40.8782863012,-40.8782863012,-5.4,-5.4
etoh_c + nad_c <=> acald_c + h_c + nadh_c,22.978695492,22.978695492,6,6
acald_c + h2o_c + nad_c --> ac_c + 2.0 h_c + nadh_c,-45.5914185849,-45.5914185849,-11.5,-11.5
acald_c + h2o_c + nadp_c --> ac_c + 2.0 h_c + nadph_c,-42.1713829841,-42.1713829841,-11.3,-11.3
h2o_c + nadp_c + ppal_c --> 2.0 h_c + nadph_c + ppa_c,-44.5767185496,-44.5767185496,-9.2,-9.2
btal_c + h2o_c + nad_c --> but_c + 2.0 h_c + nadh_c,-40.3631380123,-40.3631380123,-9.4,-9.4
all__D_c + atp_c --> adp_c + all6p_c + h_c,-11.0012516179,-11.0012516179,-3.8,-3.8
alltn_c + h2o_c --> alltt_c + h_c,-53.4942986162,-53.4942986162,-3.8,-3.8
all__D_p + atp_c + h2o_c --> adp_c + all__D_c + h_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-10.7
h_c + mthgxl_c + nadph_c --> acetol_c + nadp_c,-25.167682262,-25.167682262,-8.1,-8.1
acetol_c + h_c + nadh_c --> 12ppd__R_c + nad_c,-21.9446020454,-21.9446020454,-3.9,-3.9
altrn_c --> 2ddglcn_c + h2o_c,-37.4292523152,-37.4292523152,-10.7,-10.7
malt_c + malttr_c --> glc__D_c + maltttr_c,-1.16794425748,-1.16794425748,0,0
malt_c + maltttr_c --> glc__D_c + maltpt_c,-1.16793928439,-1.16793928439,0,0
malt_c + maltpt_c --> glc__D_c + malthx_c,-1.16793984737,-1.16793984737,0,0
malt_c + malthx_c --> glc__D_c + malthp_c,-1.16794043695,-1.16794043695,0,0
acmanap_c <=> acgam6p_c,-2.17530559336,-2.17530559336,0,0
acmana_c + atp_c --> acmanap_c + adp_c + h_c,-15.1401407445,-15.1401407445,-3.8,-3.8
air_c + h2o_c + nad_c --> 4ampm_c + 2.0 for_c + 3.0 h_c + nadh_c,-236.843433673,-271.073108743,-41.1,-49.3
amp_c + h2o_c --> ade_c + r5p_c,-19.3161561613,-36.430993696,-0.8,-4.9
cgly_c + h2o_c --> cys__L_c + gly_c,6.63954347988,-10.4752940548,-0.4,-4.5
anth_c + prpp_c --> ppi_c + pran_c,-57.0115672834,-57.0115672834,-11.3,-11.3
